name_linkedin,title,company,person_location,linkedin_url,source_linkedin,full_name_normalized,name_pubmed,paper_title,publication_year,source_pubmed
,,,,,,masakazu abe,Masakazu Abe,Hemostasis and life-saving by arterial embolization for a rupture of hepatic metastasis from choriocarcinoma after initiation of EMA/CO therapy: a case report and literature review.,2025.0,PubMed
,,,,,,mathew baldwin,Mathew Baldwin,Geno-pheno characterization of crop rhizospheres: an integrated Raman spectroscopy and microbiome approach in conventional and organic agriculture.,2025.0,PubMed
,,,,,,matteo clemot,Matteo Clemot,Topological Autoencoders++: Fast and Accurate Cycle-Aware Dimensionality Reduction.,2025.0,PubMed
,,,,,,matthew b bratton,Matthew B Bratton,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed
,,,,,,matthew campbell,Matthew Campbell,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,matthew knapp,Matthew Knapp,Extracorporeal management of severe methotrexate toxicity and acute kidney injury in the absence of glucarpidase.,2025.0,PubMed
,,,,,,matthew o'riordan,Matthew O'Riordan,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,matthew s gentry,Matthew S Gentry,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,matthew s lawrence,Matthew S Lawrence,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,matthias griese,Matthias Griese,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,maud tusseau,Maud Tusseau,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,mauricio andrés salinas-santander,Mauricio Andrés Salinas-Santander,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,mauro giacca,Mauro Giacca,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,maxime jeljeli,Maxime Jeljeli,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,mazda farshad,Mazda Farshad,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,megan gremillion,Megan Gremillion,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,megumi mizushima,Megumi Mizushima,Hemostasis and life-saving by arterial embolization for a rupture of hepatic metastasis from choriocarcinoma after initiation of EMA/CO therapy: a case report and literature review.,2025.0,PubMed
,,,,,,megumi narumi,Megumi Narumi,Hemostasis and life-saving by arterial embolization for a rupture of hepatic metastasis from choriocarcinoma after initiation of EMA/CO therapy: a case report and literature review.,2025.0,PubMed
,,,,,,melina i manolas,Melina I Manolas,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,melissa ma,Melissa Ma,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,miaofen fang,Miaofen Fang,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,michael alperovich,Michael Alperovich,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,michael aschner,Michael Aschner,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Michael Brown,VP Toxicology,Innovate Bio,Basel Switzerland,https://linkedin.com/in/michaelbrown,LinkedIn,michael brown,,,,
,,,,,,michael d gregory,Michael D Gregory,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,michael d yi,Michael D Yi,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,michael diluna,Michael DiLuna,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,michael e symonds,Michael E Symonds,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
,,,,,,michael heisler,Michael Heisler,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,michael henrickson,Michael Henrickson,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,michael j starns,Michael J Starns,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed
,,,,,,michael king-yung chung,Michael King-Yung Chung,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,michael rostás,Michael Rostás,Genome-wide identification of genes involved in beetle odoriferous defensive stink gland function recognizes Laccase2 as the phenoloxidase responsible for toxic para-benzoquinone synthesis.,2025.0,PubMed
,,,,,,michael von rhein,Michael Von Rhein,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,michel adamina,Michel Adamina,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,miguel ganuza,Miguel Ganuza,HSC-independent and -dependent hematopoiesis: new insights and lineage tracing methods.,2025.0,PubMed
,,,,,,mikhail fursov,Mikhail Fursov,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,min he,Min He,Beyond existing rating scales: development of a novel nomogram for predicting severe clinical bleeding associated with low-molecular-weight heparin in hospitalized medical patients.,2025.0,PubMed
,,,,,,min lin,Min Lin,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,min zhu,Min Zhu,Differential Functions of Membrane-bound and Soluble TNF-α in Regulating Trophoblasts Invasion and Migration.,2025.0,PubMed
,,,,,,mina ezzat attya,Mina Ezzat Attya,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed
,,,,,,ming li,Ming Li,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
,,,,,,minghua xie,Minghua Xie,Beyond existing rating scales: development of a novel nomogram for predicting severe clinical bleeding associated with low-molecular-weight heparin in hospitalized medical patients.,2025.0,PubMed
,,,,,,mingxin lin,Mingxin Lin,Differential Functions of Membrane-bound and Soluble TNF-α in Regulating Trophoblasts Invasion and Migration.,2025.0,PubMed
,,,,,,minwoo kim,Minwoo Kim,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,misha haq,Misha Haq,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,mohamed el-kassas,Mohamed El-Kassas,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,mohamed fathi saleh,Mohamed Fathi Saleh,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed
,,,,,,mohamed h eldesouki,Mohamed H Eldesouki,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,mohammad alnatoor,Mohammad AlNatoor,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,mohammed abusuliman,Mohammed Abusuliman,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,molly byrne,Molly Byrne,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,momoko yoshimoto,Momoko Yoshimoto,HSC-independent and -dependent hematopoiesis: new insights and lineage tracing methods.,2025.0,PubMed
,,,,,,mona a ali,Mona A Ali,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,montse gispert-saüch,Montse Gispert-Saüch,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,morten hostrup,Morten Hostrup,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,mousa khalafi,Mousa Khalafi,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
,,,,,,muhammad a salisu,Muhammad A Salisu,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,muhammad bilal habib,Muhammad Bilal Habib,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,muhammad kamran,Muhammad Kamran,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,murad alam,Murad Alam,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,musa dan'azumi isah,Musa Dan'azumi Isah,Genome-wide identification of genes involved in beetle odoriferous defensive stink gland function recognizes Laccase2 as the phenoloxidase responsible for toxic para-benzoquinone synthesis.,2025.0,PubMed
,,,,,,myrielle dupont-rouzeyrol,Myrielle Dupont-Rouzeyrol,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed
,,,,,,nada f abo el-magd,Nada F Abo El-Magd,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
,,,,,,nadhirah mohamad zain,Nadhirah Mohamad Zain,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,nadia nathan,Nadia Nathan,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,naim alkhouri,Naim Alkhouri,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,nancy allbritton,Nancy Allbritton,An,2025.0,PubMed
,,,,,,naseer ali shah,Naseer Ali Shah,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,natalie hudson,Natalie Hudson,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,natasha ratnapradipa,Natasha Ratnapradipa,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed
,,,,,,nathalie jette,Nathalie Jette,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,navin bhatt,Navin Bhatt,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,nayara fernanda tokashike de araújo,Nayara Fernanda Tokashike de Araújo,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,nehal m ramadan,Nehal M Ramadan,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
,,,,,,ngar-woon kam,Ngar-Woon Kam,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,nicola coppola,Nicola Coppola,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,nicolaus schwerk,Nicolaus Schwerk,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,nicole hanley,Nicole Hanley,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,nidal a qinna,Nidal A Qinna,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,nidhal ben khedher,Nidhal Ben Khedher,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
,,,,,,nikolaus marx,Nikolaus Marx,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,nilan nandish,Nilan Nandish,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,nirmala bhoo-pathy,Nirmala Bhoo-Pathy,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,nishwant swami,Nishwant Swami,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,norbert stefan,Norbert Stefan,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,nyla bent,Nyla Bent,"EXPRESS: Primary Portal Vein Hypoplasia in Cats: Clinical Findings, Diagnosis, and Outcomes in Five Cases.",2025.0,PubMed
,,,,,,oliver m crook,Oliver M Crook,Semi-supervised Bayesian integration of multiple spatial proteomics datasets.,2025.0,PubMed
,,,,,,omar allam,Omar Allam,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,p nozière,P Nozière,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
,,,,,,pamela mouser,Pamela Mouser,"EXPRESS: Primary Portal Vein Hypoplasia in Cats: Clinical Findings, Diagnosis, and Outcomes in Five Cases.",2025.0,PubMed
,,,,,,pan zhou,Pan Zhou,The ameliorative effects of fermented Chinese herbal medicine on growth inhibition and liver damage induced by manganese exposure in largemouth bass (Micropterus salmoides).,2025.0,PubMed
,,,,,,paola pepe,Paola Pepe,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,partha das,Partha Das,Arsenic-induced oxidative damages and toxicity in young goats: potential mitigation with vitamin E and phytogenic feed additives.,2025.0,PubMed
,,,,,,patrizia carrieri,Patrizia Carrieri,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,patty ewing,Patty Ewing,"EXPRESS: Primary Portal Vein Hypoplasia in Cats: Clinical Findings, Diagnosis, and Outcomes in Five Cases.",2025.0,PubMed
,,,,,,paul a storrs,Paul A Storrs,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,paul d w kirk,Paul D W Kirk,Semi-supervised Bayesian integration of multiple spatial proteomics datasets.,2025.0,PubMed
,,,,,,paul n brennan,Paul N Brennan,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,paul rosen,Paul Rosen,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,paul serrato,Paul Serrato,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,peikui yang,Peikui Yang,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,peisheng he,Peisheng He,Geno-pheno characterization of crop rhizospheres: an integrated Raman spectroscopy and microbiome approach in conventional and organic agriculture.,2025.0,PubMed
,,,,,,peng liu,Peng Liu,STICformer: spatio-temporal intrinsic connections transformer for traffic flow prediction.,2025.0,PubMed
,,,,,,peter d arkwright,Peter D Arkwright,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,peter d westenskow,Peter D Westenskow,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,peter g gibson,Peter G Gibson,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,peter hotez,Peter Hotez,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,peter j skrdla,Peter J Skrdla,Probing the Meaning of the Constant ,2025.0,PubMed
,,,,,,peter m barrett,Peter M Barrett,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,philip t loverde,Philip T LoVerde,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,pierre-etienne gabriel,Pierre-Etienne Gabriel,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,ping feng,Ping Feng,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,ping-jui tsai,Ping-Jui Tsai,Pararectus vs. lateral window approach in AO B2.2 pelvic fractures: impact on short-term functional outcomes.,2025.0,PubMed
,,,,,,pinyan zhang,Pinyan Zhang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
,,,,,,poornima aiswarya munagala,Poornima Aiswarya Munagala,The Concept of Anatomical Analogy Between the Liver and the Pancreas.,2025.0,PubMed
,,,,,,pranav mandyam,Pranav Mandyam,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,priya jaisinghani,Priya Jaisinghani,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,qasem abdallah,Qasem Abdallah,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,qi chen,Qi Chen,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,qi ruan,Qi Ruan,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,qian lu,Qian Lu,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
,,,,,,qiang ma,Qiang Ma,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
,,,,,,qicheng zhang,Qicheng Zhang,Drp1 Interaction with BIP Maintains Mitochondrial Dynamic Equilibrium to Promote Anoikis Resistance and Metastasis in Nasopharyngeal Carcinoma.,2025.0,PubMed
,,,,,,qinghua liu,Qinghua Liu,Multi-Omics and Integrative Analytics in Natural Products Discovery.,2025.0,PubMed
,,,,,,qiuhong gong,Qiuhong Gong,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,qiuhong wu,Qiuhong Wu,The ameliorative effects of fermented Chinese herbal medicine on growth inhibition and liver damage induced by manganese exposure in largemouth bass (Micropterus salmoides).,2025.0,PubMed
,,,,,,quanjun du,Quanjun Du,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,raffaele manna,Raffaele Manna,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,raha jaberi,Raha Jaberi,Comparative incidence of peripheral neuropathy associated with taxane chemotherapy in patients with breast cancer: A network meta-analysis.,2025.0,PubMed
,,,,,,raheem h kazmi,Raheem H Kazmi,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,rahib k islam,Rahib K Islam,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed
,,,,,,raimund kottke,Raimund Kottke,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,rakesh adhikari,Rakesh Adhikari,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,ramiz shaheed,Ramiz Shaheed,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,ramon c sun,Ramon C Sun,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,ramya melepattu valappil kuttappan,Ramya Melepattu Valappil Kuttappan,Protective effect of antioxidant triterpenes of ,2025.0,PubMed
,,,,,,rashmi tondon,Rashmi Tondon,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,raúl santiago aceves-enríquez,Raúl Santiago Aceves-Enríquez,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,rebecca hernandez,Rebecca Hernandez,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,reece c larson,Reece C Larson,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,reghunathan muthuswamy,Reghunathan Muthuswamy,Protective effect of antioxidant triterpenes of ,2025.0,PubMed
,,,,,,reham h mohyeldin,Reham H Mohyeldin,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed
,,,,,,reiner jumpertz-von schwartzenberg,Reiner Jumpertz-von Schwartzenberg,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,remon roshdy rofaeil,Remon Roshdy Rofaeil,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed
,,,,,,riley nett,Riley Nett,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed
,,,,,,rita vesce,Rita Vesce,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,robert l hanson,Robert L Hanson,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
Robert Lee,Head of Preclinical Safety,XYZ Pharma,Boston MA,https://linkedin.com/in/robertlee,LinkedIn,robert lee,,,,
,,,,,,roberto a ribas,Roberto A Ribas,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,rod carlo columbres,Rod Carlo Columbres,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,rodrigo de vecchi,Rodrigo De Vecchi,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,roger haber,Roger Haber,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,roland weber,Roland Weber,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,roman gorodnichev,Roman Gorodnichev,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,rongqi cui,Rongqi Cui,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,rongrong shao,Rongrong Shao,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,rory holohan,Rory Holohan,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,rosaria focareta,Rosaria Focareta,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,ross f waller,Ross F Waller,Semi-supervised Bayesian integration of multiple spatial proteomics datasets.,2025.0,PubMed
,,,,,,rowan haffner,Rowan Haffner,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,rowanne murrar,Rowanne Murrar,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,ru jin,Ru Jin,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,rukayat abiodun oyegoke,Rukayat Abiodun Oyegoke,Antidiabetic Activity of Amaranthus hybridus Leaf-based Diet in High-fat Diet and Streptozotocin-induced Diabetic Rats.,2025.0,PubMed
,,,,,,runda jie,Runda Jie,Integrated network pharmacology and experimental validation reveal ,2025.0,PubMed
,,,,,,runze zhang,Runze Zhang,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,russell hunter,Russell Hunter,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed
,,,,,,ruth tuura o'gorman,Ruth Tuura O'Gorman,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,ryan f lebouf,Ryan F LeBouf,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
